w Exp(t) + (1-w) InverseGamma(a,b): [a,b,t,w] =	[2.433361, 2.387495, 3.947957, 0.7499894]
gene	p_phi_neg	q_phi_neg	phi_neg	p_phi_pos	q_phi_pos	phi_pos_or_p(m=0|s)*p(k=0|s)	m_obs	k_obs	s_obs
A1BG	4.927997e-01	7.643207e-01	0.618907	1.000000e+00	1.000000e+00	0.538533	0	0	0
A1CF	5.779671e-02	4.717242e-01	1.492107	3.142791e-01	1.000000e+00	1.214554	2	1	3
A2M	1.507911e-02	3.246444e-01	2.162089	5.976517e-01	1.000000e+00	0.126235	3	0	4
A2ML1	7.433069e-01	8.667271e-01	0.310952	4.178471e-01	1.000000e+00	0.802493	1	0	0
A3GALT2	3.332030e-01	7.200239e-01	0.681086	1.000000e+00	1.000000e+00	0.506067	0	0	0
A4GALT	9.648666e-01	9.775402e-01	0.112546	1.445480e-01	1.000000e+00	2.353414	3	0	0
A4GNT	1.911461e-01	6.559907e-01	0.794355	1.000000e+00	1.000000e+00	0.451872	0	0	0
AAAS	9.294261e-02	5.407938e-01	1.234762	1.827280e-01	1.000000e+00	2.021839	0	1	1
AACS	4.432123e-02	4.433548e-01	1.571516	1.000000e+00	1.000000e+00	0.207730	0	0	1
AADAC	4.432123e-02	4.433548e-01	1.575762	1.000000e+00	1.000000e+00	0.206850	0	0	1
AADACL2	9.456784e-01	9.659644e-01	0.122210	1.686935e-01	1.000000e+00	2.153000	3	0	0
AADACL3	4.558074e-01	7.535294e-01	0.622629	1.026108e-01	1.000000e+00	2.755932	0	1	0
AADACL4	1.040216e-02	2.885092e-01	2.401062	1.000000e+00	1.000000e+00	0.090622	0	0	2
AADAT	2.640666e-01	6.926738e-01	0.724740	1.000000e+00	1.000000e+00	0.484450	0	0	0
AAED1	5.250759e-01	7.728329e-01	0.584199	1.000000e+00	1.000000e+00	0.557552	0	0	0
AAGAB	2.356334e-01	6.802248e-01	0.749220	1.000000e+00	1.000000e+00	0.472735	0	0	0
AAK1	5.250759e-01	7.728329e-01	0.596224	1.000000e+00	1.000000e+00	0.550888	0	0	0
