w Gamma(a,b) + (1-w) InverseGamma(g,d): [a,b,g,d,w] =	[0.7920239, 3.75463, 3.437898, 56.19209, 0.9488415]
gene	p_phi_neg	q_phi_neg	phi_neg	p_phi_pos	q_phi_pos	phi_pos_or_p(m=0|s)*p(k=0|s)	m_obs	k_obs	s_obs
A1BG	8.131665e-01	8.910747e-01	0.440067	5.649398e-01	1.000000e+00	0.938709	2	0	0
A1CF	1.942123e-01	4.224644e-01	1.731052	6.455981e-01	1.000000e+00	0.703162	30	2	13
A2M	5.877138e-01	7.457693e-01	0.806814	3.426265e-01	1.000000e+00	1.680906	30	3	11
A2ML1	5.272688e-02	1.934736e-01	2.864222	7.950766e-01	1.000000e+00	0.350137	26	2	14
A3GALT2	3.821529e-01	6.096809e-01	1.172023	1.000000e+00	1.000000e+00	0.309740	0	0	0
A4GALT	3.232258e-04	7.579564e-03	7.432415	7.048359e-01	1.000000e+00	0.525435	4	2	10
A4GNT	1.521483e-03	2.151515e-02	5.982029	1.000000e+00	1.000000e+00	0.004450	3	0	5
AAAS	4.171578e-03	4.061902e-02	5.108012	1.000000e+00	1.000000e+00	0.013941	6	0	8
AACS	9.875353e-04	1.631268e-02	6.409533	1.000000e+00	1.000000e+00	0.008529	8	0	9
AADAC	2.407157e-01	4.798377e-01	1.528336	6.514304e-01	1.000000e+00	0.699365	17	1	7
AADACL2	9.621522e-01	9.773896e-01	0.190358	1.051413e-01	1.000000e+00	3.215153	14	1	2
AADACL3	7.321690e-04	1.321728e-02	6.656669	1.000000e+00	1.000000e+00	0.005605	9	0	10
AADACL4	4.264438e-03	4.113695e-02	5.096047	8.866370e-01	1.000000e+00	0.044540	18	0	13
AADAT	6.836708e-01	8.125175e-01	0.654697	5.433230e-01	1.000000e+00	0.994273	6	0	1
AAED1	5.482821e-01	7.165826e-01	0.888363	2.459427e-01	1.000000e+00	2.125191	2	1	1
AAGAB	1.603629e-03	2.232165e-02	5.959682	1.000000e+00	1.000000e+00	0.002581	0	0	3
AAK1	7.317047e-02	2.354016e-01	2.601033	8.700632e-01	1.000000e+00	0.103590	6	0	5
AAMDC	3.591664e-01	5.925055e-01	1.204936	1.000000e+00	1.000000e+00	0.299711	0	0	0
AAMP	2.944159e-01	5.359960e-01	1.348504	7.523037e-01	1.000000e+00	0.457319	5	0	2
AANAT	1.851138e-02	1.034531e-01	3.810045	1.000000e+00	1.000000e+00	0.022147	0	0	2
AAR2	3.821529e-01	6.096809e-01	1.174179	1.000000e+00	1.000000e+00	0.309073	0	0	0
AARD	2.459677e-01	4.853312e-01	1.503343	8.012733e-01	1.000000e+00	0.337565	4	0	2
AARS	4.470303e-01	6.486526e-01	1.067396	6.687257e-01	1.000000e+00	0.635073	6	0	2
AARS2	4.196578e-04	9.097948e-03	7.191651	1.000000e+00	1.000000e+00	0.001004	3	0	8
AASDH	3.481410e-01	5.837061e-01	1.234200	4.926855e-01	1.000000e+00	1.152326	4	1	2
AASDHPPT	8.131665e-01	8.910747e-01	0.457540	4.988142e-01	1.000000e+00	1.129501	3	0	0
AASS	2.159434e-01	4.487642e-01	1.621808	8.202168e-01	1.000000e+00	0.265356	4	0	2
AATF	8.006250e-01	8.832427e-01	0.464024	5.050466e-01	1.000000e+00	1.107435	3	0	0
AATK	3.944641e-01	6.174479e-01	1.149305	7.153095e-01	1.000000e+00	0.512657	5	0	2
AATK-AS1	5.087289e-01	6.875631e-01	0.962452	1.000000e+00	1.000000e+00	0.381955	0	0	0
ABAT	1.645344e-01	3.836602e-01	1.897207	8.075896e-01	1.000000e+00	0.315155	8	0	4
ABCA1	7.366674e-01	8.435454e-01	0.563681	3.328047e-01	1.000000e+00	1.728534	12	1	3
ABCA10	2.303404e-01	4.667318e-01	1.571655	5.726097e-01	1.000000e+00	0.903768	17	2	7
ABCA11P	2.802136e-01	5.217423e-01	1.387243	4.381996e-01	1.000000e+00	1.326231	19	0	4
ABCA12	1.678381e-01	3.878270e-01	1.877892	6.256813e-01	1.000000e+00	0.765914	75	4	25
ABCA13	0.000000e+00	0.000000e+00	13.058633	1.000000e+00	1.000000e+00	0.001930	80	3	45
ABCA2	0.000000e+00	0.000000e+00	15.640809	1.000000e+00	1.000000e+00	0.000032	13	0	19
ABCA3	0.000000e+00	0.000000e+00	14.194650	1.000000e+00	1.000000e+00	0.012865	15	1	24
ABCA4	1.380406e-03	2.022501e-02	6.084119	6.867120e-01	1.000000e+00	0.565769	43	6	29
ABCA5	4.789457e-02	1.819662e-01	2.947665	8.012733e-01	1.000000e+00	0.338302	9	1	6
ABCA6	8.343155e-03	6.335774e-02	4.488644	8.419086e-01	1.000000e+00	0.185149	28	0	12
ABCA7	6.607379e-04	1.250845e-02	6.769949	1.000000e+00	1.000000e+00	0.013345	20	0	17
ABCA8	8.393157e-05	3.007038e-03	8.767298	8.928747e-01	1.000000e+00	0.027717	32	2	23
ABCA9	1.861781e-01	4.122909e-01	1.761995	6.631273e-01	1.000000e+00	0.640839	22	1	8
ABCB1	4.339959e-01	6.415591e-01	1.093945	1.635094e-01	1.000000e+00	2.649062	49	1	11
ABCB10	5.583235e-01	7.244815e-01	0.871679	3.622629e-01	1.000000e+00	1.608224	4	1	2
ABCB11	8.260313e-01	8.980546e-01	0.429526	1.002107e-01	1.000000e+00	3.279897	48	6	15
ABCB4	6.431837e-02	2.178887e-01	2.704374	7.734223e-01	1.000000e+00	0.412156	23	2	13
ABCB5	2.253545e-01	4.606797e-01	1.581341	3.622629e-01	1.000000e+00	1.618996	46	1	14
ABCB6	1.516893e-01	3.648754e-01	1.972969	8.603539e-01	1.000000e+00	0.125710	2	0	2
ABCB7	6.093557e-01	7.610728e-01	0.777979	6.327262e-01	1.000000e+00	0.754052	4	0	1
ABCB8	1.078610e-03	1.743146e-02	6.337388	1.000000e+00	1.000000e+00	0.001695	3	0	8
ABCB9	1.455784e-01	3.565162e-01	2.015413	8.463999e-01	1.000000e+00	0.168333	4	0	3
ABCC1	4.232294e-04	9.122402e-03	7.163130	7.273599e-01	1.000000e+00	0.487648	13	3	16
ABCC10	7.821708e-04	1.386515e-02	6.611688	1.000000e+00	1.000000e+00	0.010226	17	0	17
ABCC11	0.000000e+00	0.000000e+00	13.722091	1.000000e+00	1.000000e+00	0.011800	19	1	25
ABCC12	1.803636e-03	2.374236e-02	5.832550	8.519965e-01	1.000000e+00	0.146719	24	2	19
ABCC13	3.276028e-01	5.667841e-01	1.263085	1.000000e+00	1.000000e+00	0.282780	0	0	0
ABCC2	4.897139e-02	1.848160e-01	2.938667	7.734223e-01	1.000000e+00	0.406680	7	1	6
ABCC3	1.155398e-03	1.812325e-02	6.245115	8.700632e-01	1.000000e+00	0.101152	31	2	23
ABCC4	4.143005e-04	9.087348e-03	7.208006	8.825583e-01	1.000000e+00	0.072397	10	1	12
