Clonal	Subclonal
AK1	A1BG
AKAP5	A4GNT
AMD1	AADAT
AMMECR1	AAGAB
APLN	AAK1
ARHGAP11B	AAMP
ARMCX1	AARD
ARPC3	AASDH
ASB13	AASDHPPT
ASB9	AATK
ATF3	ABCB6
ATP1B1	ABCF2
ATP6V0C	ABHD10
BCL2	ABHD13
BEX5	ABHD14B
BUD31	ABHD15
C17orf100	ABHD16B
C4orf46	ABHD2
C8G	ABHD4
C8orf82	ABHD6
C9orf72	ABT1
CAAP1	ACAA1
CASP6	ACAA2
CBWD6	ACADL
CCL27	ACADVL
CCNA2	ACAP3
CCNO	ACAT2
CD99L2	ACCS
CDKL1	ACER1
CDKN3	ACER3
CDRT4	ACO2
CFDP1	ACOT2
CHIC1	ACP1
CLDN20	ACP5
CLEC11A	ACPP
CLIC3	ACRV1
COG3	ACSBG1
CRABP1	ACSBG2
CT47A6	ACSS1
CTDSP2	ACTA1
CTF1	ACTB
CXorf65	ACTN4
DBI	ACTR10
DCUN1D5	ACTR1A
DDIT4	ACTR1B
DEC1	ACTR2
DESI1	ACTR3
DNAJA1	ACTR3C
DNAJB1	ACTR5
DNAJC24	ACTR6
DNAL4	ACTR8
E2F5	ACVR2A
EBF4	ACY1
EIF2S3	ACYP1
EXOSC6	ADAM10
EXTL2	ADAM17
FADS1	ADAM8
FAM120AOS	ADAM9
FAM173A	ADAT3
FAM219A	ADCK5
FAM219B	ADCYAP1
FAM43A	ADH5
FAM43B	ADH6
FAM50A	ADI1
FAM89B	ADIPOR1
FAM9B	ADM2
FEM1C	ADNP
FEZ1	ADO
FJX1	ADPGK
FOLR2	ADPRH
FOPNL	ADPRHL2
FOXP3	ADRA1A
FTSJ1	ADRA1B
GFRA4	ADRA1D
GJB1	ADRA2B
GLOD5	ADRA2C
GMNN	ADRB2
GOLGA6L1	ADRB3
GPAA1	ADRM1
GPR143	ADSL
GPR82	AEBP1
GTF2H5	AEBP2
H2BFM	AFP
HADH	AFTPH
HAUS7	AGAP2
HDDC2	AGAP4
HINT3	AGAP5
HIST1H2AH	AGAP8
HMGN3	AGER
HOXB4	AGFG1
HOXD11	AGMO
IAH1	AGPAT1
IDH2	AGPAT2
IFI27L1	AGPAT5
IFI6	AGR2
IFNGR1	AGR3
IFT20	AGRP
IGFBP4	AGTRAP
IGFLR1	AHCY
IL21R	AIF1
ILK	AIF1L
IRF1	AIMP1
KCNK7	AIPL1
KIAA1143	AK4
KISS1	AKAP10
KISS1R	AKAP14
LCAT	AKIP1
LCN1	AKR1C2
LIPM	AKR1C3
LOR	AKR7A3
LRRC26	AKT1S1
MAF	AKT3
MANBAL	AKTIP
MAP1LC3B	ALCAM
MAT2B	ALDH1A3
MED22	ALDH3A2
MFSD10	ALDH3B2
MGAT4B	ALDH5A1
MINPP1	ALDOA
MMADHC	ALG10
MOB1B	ALG12
MRPL13	ALK
MRPL50	ALKBH1
MRTO4	ALKBH3
MTCP1	ALKBH5
MTMR1	ALKBH6
MYL6	ALPL
NEURL2	ALS2CR12
NKX2-8	ALX1
NKX6-3	ALYREF
NME4	AMACR
NMRK1	AMFR
NPPC	AMMECR1L
OR4F21	AMN1
ORC6	AMPD3
OSGEP	AMT
PDCD6	AMTN
PDHB	AMY2B
PEX12	AMZ2
PGGT1B	ANAPC11
PHF6	ANAPC16
PHOX2A	ANAPC5
PIR	ANG
PITX3	ANGEL2
PLCXD1	ANGPT1
PLD6	ANGPT2
PLIN2	ANGPTL1
PLSCR1	ANKFY1
POLR2J	ANKH
PPA1	ANKMY2
PRDX4	ANKRA2
PRKAR1A	ANKRD10
PRKAR2A	ANKRD13B
PRR18	ANKRD16
PSMB5	ANKRD20A4
PSMB9	ANKRD27
PSMD10	ANKRD34A
PSTK	ANKRD36C
PTCH1	ANKRD39
PTGR2	ANKRD54
PTX3	ANKRD7
RAB36	ANKS3
RAET1L	ANKZF1
RANGRF	ANO6
RBM34	ANTXR2
RBM4B	ANXA13
RBM8A	ANXA2
RELT	ANXA2R
RFNG	ANXA4
RLN2	ANXA5
RNF167	AP1B1
RNF170	AP1G1
RPL28	AP1S1
RPL9	AP1S3
RPP38	AP2B1
RPS4X	AP2M1
RRAGA	AP2S1
RSL24D1	AP3B1
RSRC2	AP3M1
RSU1	AP3M2
S100G	AP3S1
SAC3D1	AP4M1
SAMD5	AP4S1
SCML1	AP5M1
SCOC	AP5Z1
SDHD	APBA3
SESN3	APBB1
SFT2D1	APBB3
SGCB	APEX1
SH2D6	API5
SIGMAR1	APLF
SKOR2	APLP2
SLC23A3	APOA1
SLC25A43	APOA2
SLC35A2	APOBEC3B
SLC35G6	APOBEC3H
SLC9A3R2	APOBEC4
SNRPE	APOE
SNRPN	APOF
SNX12	APOL1
SNX7	APOL6
SOD3	APOOL
SOX12	APPBP2
SPANXN4	APPL1
SPIN4	APPL2
SPINK14	APRT
SRP19	AQP11
SRSF1	AQP12A
STX3	AQP4
SUMO2	AQP5
SUN2	AQP7
SYAP1	ARAF
TACO1	ARCN1
TAF5	AREG
TAX1BP3	ARF3
TCEANC	ARF4
TCTEX1D2	ARF5
TEX12	ARFGAP1
TFAM	ARFGAP3
TIMP1	ARFIP1
TIRAP	ARFIP2
TMBIM6	ARFRP1
TMEM106A	ARG1
TMEM167A	ARG2
TMEM179B	ARGFX
TMEM185A	ARHGAP1
TMEM70	ARHGAP15
TMEM86B	ARHGAP26
TMEM95	ARHGAP35
TNFSF12-TNFSF13	ARHGAP9
TP53AIP1	ARHGDIB
TPRG1L	ARHGDIG
TRADD	ARHGEF1
TRAPPC5	ARHGEF2
TRIB2	ARHGEF37
TRUB2	ARHGEF38
TSPAN19	ARHGEF7
TSPAN6	ARIH1
TTC32	ARL1
TUBA1C	ARL11
UBE2J1	ARL13A
UBOX5	ARL13B
UROD	ARL14
USP14	ARL15
USP35	ARL2
VCX2	ARL4C
WDR26	ARL4D
WDR45	ARL5A
YPEL3	ARL5B
ZAR1	ARL6
