Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0031625~ubiquitin protein ligase binding	12	0.032772558444395895	0.0010353341856287272	ATP6V0C, SUMO2, PRKAR2A, MAP1LC3B, BCL2, TMBIM6, PRKAR1A, UBE2J1, DNAJA1, RRAGA, UBOX5, TRIB2	213	287	16881	3.313736074986504	0.2968576897406474	0.2968576897406474	1.4007289736108763
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	54	0.1474765129997815	0.001303631103761048	SRSF1, HINT3, ATP1B1, PRDX4, TSPAN6, PDHB, PRKAR2A, IFT20, LCAT, USP14, IAH1, MINPP1, RSU1, STX3, EIF2S3, RPS4X, SLC9A3R2, LRRC26, C8G, CDKL1, CLIC3, RELT, TMEM106A, SNX12, SNRPE, MYL6, MOB1B, EXTL2, TIMP1, PSMB5, ATP6V0C, ARPC3, SYAP1, DNAJA1, IDH2, PTGR2, HDDC2, AK1, RFNG, TAX1BP3, DBI, RPL28, SOD3, PSMB9, PPA1, LCN1, PLSCR1, BEX5, HIST1H2AH, MAT2B, TPRG1L, DNAJB1, GFRA4, PDCD6	230	2811	18224	1.5221196232193404	0.288563909977267	0.288563909977267	1.691650463020855
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	84	0.22940790911077125	0.007393609910777938	LOR, HINT3, SRSF1, ZAR1, C9ORF72, HMGN3, E2F5, CRABP1, TIRAP, MED22, SRP19, CASP6, KISS1, PRKAR2A, RBM8A, ILK, HADH, FTSJ1, CCNA2, CCNO, USP14, TUBA1C, SNRPN, UBE2J1, EIF2S3, LRRC26, DDIT4, MRTO4, CDKL1, SKOR2, RELT, CLIC3, DNAJC24, RANGRF, HAUS7, NEURL2, UROD, TRUB2, SGCB, MOB1B, RRAGA, GPR143, TRIB2, SESN3, MTMR1, ARPC3, SAC3D1, BCL2, SYAP1, RPL9, PIR, RNF167, FAM89B, MAF, OSGEP, PTGR2, MMADHC, TMBIM6, AK1, GMNN, TAX1BP3, CDKN3, FOXP3, SOD3, RPL28, CLEC11A, TRADD, PSMB9, PPA1, COG3, FEM1C, C4ORF46, DESI1, WDR26, PSMD10, BEX5, PRKAR1A, IRF1, TMEM86B, DNAJB1, PDCD6, PLCXD1, FEZ1, DNAL4	230	5222	18224	1.2745541438396084	0.8558500770785777	0.6203291913757099	9.249822875645508
GOTERM_BP_DIRECT	GO:0001658~branching involved in ureteric bud morphogenesis	4	0.010924186148131964	0.016266262906146453	BCL2, ILK, PTCH1, HOXD11	215	42	16792	7.438316722037651	0.9999999683716355	0.9999999683716355	22.958099683624233
GOTERM_BP_DIRECT	GO:0033209~tumor necrosis factor-mediated signaling pathway	6	0.016386279222197948	0.01759766037412266	PSMB5, RELT, PSMD10, TNFSF12-TNFSF13, PSMB9, TRADD	215	118	16792	3.9713046905794243	0.9999999924015387	0.9999128308467619	24.599749433495845
GOTERM_MF_DIRECT	GO:0001671~ATPase activator activity	3	0.008193139611098974	0.02104283216755292	ATP1B1, DNAJC24, DNAJB1	213	18	16881	13.208920187793426	0.9992761396258977	0.9730953466087675	25.144894336918856
GOTERM_CC_DIRECT	GO:0005730~nucleolus	19	0.05188988420362682	0.02324458234232997	RPP38, RBM34, EXOSC6, E2F5, TAF5, ZMAT3, YPEL3, GTF2H5, SRP19, MRTO4, VCX2, RBM4B, PLSCR1, ATF3, RPL9, HAUS7, DNAJB1, RSL24D1, PHF6	230	857	18224	1.7566637917913852	0.9978417522089991	0.8707688819414872	26.47931080119449
GOTERM_BP_DIRECT	GO:0009887~organ morphogenesis	5	0.013655232685164956	0.03004530635153779	E2F5, GMNN, PTCH1, RFNG, PITX3	215	92	16792	4.24469160768453	0.9999999999999888	0.9999776252299334	38.43993059909875
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	13	0.035503604981428884	0.03177646593327176	MAF, TAF5, POLR2J, SOX12, NKX2-8, GTF2H5, PLSCR1, TFAM, ATF3, EBF4, PIR, IRF1, PITX3	215	513	16792	1.9792012330568023	0.9999999999999983	0.9997967241411354	40.16424342649593
GOTERM_MF_DIRECT	GO:0060090~binding, bridging	2	0.005462093074065982	0.03720650257651209	PDCD6, TRADD	213	3	16881	52.835680751173705	0.9999974807546131	0.9863931742258168	40.329858113714536
