Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	141	70.5	1.3183154602723086E-196	OR51D1, OR1J2, OR10T2, OR1J1, OR5L1, OR5L2, OR4S1, OR1J4, OR4L1, OR4C6, OR52D1, OR8K1, OR6C68, OR6C2, OR4S2, OR8K5, OR6C1, OR51L1, OR8A1, OR14C36, OR5R1, OR10S1, OR1K1, OR1S2, OR4D6, OR4D5, OR4E2, OR8B8, OR13F1, OR2D2, OR8B2, OR8B3, OR8B4, OR2Z1, OR10K1, OR10K2, OR2L8, OR51B2, OR11G2, OR2L3, OR4A5, OR2L2, OR1G1, OR52N5, OR52N4, OR51B6, OR2T6, OR2C1, OR2A2, OR2A5, OR5P2, OR7G1, OR13H1, OR52E2, OR4B1, OR6C76, OR6T1, OR2M2, OR6C70, OR2M4, OR14A16, OR56A4, OR51S1, OR52M1, OR52E6, OR4A15, OR4A16, OR6K3, OR51A2, OR6K2, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR8D4, OR10A3, OR52H1, OR1A1, OR5H2, OR1N2, OR51Q1, OR1N1, OR4C13, OR4C16, OR4C15, OR7G3, OR4C12, OR4C11, OR14J1, OR5I1, OR52B2, OR4A47, OR10J3, OR10J1, OR51G2, OR2W1, OR4N5, OR4K13, OR5H6, OR1C1, OR6F1, OR5D14, OR1L8, OR2A25, OR52J3, OR5J2, OR51F1, OR1L3, OR10G2, OR10G4, OR9Q2, OR13C5, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR10G8, OR13C2, OR10G9, OR9I1, OR2G6, OR5B12, OR6Y1, OR10R2, OR13C9, OR13C8, OR5B17, OR52R1, OR1B1, OR2Y1, OR11L1, OR10H1, OR5B3, OR10Z1, OR4X1, OR2F1, OR4X2, OR13D1, OR10Q1	179	425	16792	31.122865593164637	1.7797258713676166E-194	1.7797258713676166E-194	1.5455544559884625E-193
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	141	70.5	6.76620618669228E-191	OR51D1, OR1J2, OR10T2, OR1J1, OR5L1, OR5L2, OR4S1, OR1J4, OR4L1, OR4C6, OR52D1, OR8K1, OR6C68, OR6C2, OR4S2, OR8K5, OR6C1, OR51L1, OR8A1, OR14C36, OR5R1, OR10S1, OR1K1, OR1S2, OR4D6, OR4D5, OR4E2, OR8B8, OR13F1, OR2D2, OR8B2, OR8B3, OR8B4, OR2Z1, OR10K1, OR10K2, OR2L8, OR51B2, OR11G2, OR2L3, OR4A5, OR2L2, OR1G1, OR52N5, OR52N4, OR51B6, OR2T6, OR2C1, OR2A2, OR2A5, OR5P2, OR7G1, OR13H1, OR52E2, OR4B1, OR6C76, OR6T1, OR2M2, OR6C70, OR2M4, OR14A16, OR56A4, OR51S1, OR52M1, OR52E6, OR4A15, OR4A16, OR6K3, OR51A2, OR6K2, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR8D4, OR10A3, OR52H1, OR1A1, OR5H2, OR1N2, OR51Q1, OR1N1, OR4C13, OR4C16, OR4C15, OR7G3, OR4C12, OR4C11, OR14J1, OR5I1, OR52B2, OR4A47, OR10J3, OR10J1, OR51G2, OR2W1, OR4N5, OR4K13, OR5H6, OR1C1, OR6F1, OR5D14, OR1L8, OR2A25, OR52J3, OR5J2, OR51F1, OR1L3, OR10G2, OR10G4, OR9Q2, OR13C5, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR10G8, OR13C2, OR10G9, OR9I1, OR2G6, OR5B12, OR6Y1, OR10R2, OR13C9, OR13C8, OR5B17, OR52R1, OR1B1, OR2Y1, OR11L1, OR10H1, OR5B3, OR10Z1, OR4X1, OR2F1, OR4X2, OR13D1, OR10Q1	187	431	16881	29.5323771356254	4.398034021349982E-189	4.398034021349982E-189	6.896100379588262E-188
GOTERM_MF_DIRECT	GO:0004930~G-protein coupled receptor activity	146	73.0	5.033622129475604E-166	OR51D1, OR1J2, OR10T2, OR1J1, OR5L1, OR5L2, OR4S1, OR1J4, OR4L1, OR4C6, OR52D1, OR8K1, OR6C68, TAS2R60, OR6C2, OR4S2, OR8K5, OR6C1, OR51L1, OR8A1, OR14C36, OR5R1, OR10S1, OR1K1, OR1S2, OR4D6, OR4D5, OR4E2, OR8B8, OR13F1, OR2D2, OR8B2, OR8B3, OR8B4, OR2Z1, OR10K1, OR10K2, OR2L8, OR51B2, GPR148, OR11G2, OR2L3, OR4A5, OR2L2, OR1G1, OR52N5, OR52N4, OR51B6, OR2T6, OR2C1, OR2A2, OR2A5, OR5P2, OR7G1, OR13H1, OR52E2, OR4B1, OR6C76, OR6T1, OR2M2, OR6C70, OR2M4, OR14A16, OR56A4, OR51S1, OR52M1, OR52E6, OR4A15, OR4A16, OR6K3, OR51A2, OR6K2, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR8D4, OR10A3, OR52H1, OR1A1, OR5H2, OR1N2, OR51Q1, OR1N1, OR4C13, OR4C16, OR4C15, OR7G3, OR4C12, OR4C11, OR14J1, MAS1L, OR5I1, OR52B2, OR4A47, OR10J3, OR10J1, OR51G2, OR2W1, OR4N5, OR4K13, OR5H6, OR1C1, OR6F1, OR5D14, OR1L8, OR2A25, OR52J3, FFAR1, OR5J2, OR51F1, OR1L3, OR10G2, OR10G4, OR9Q2, OR13C5, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR10G8, OR13C2, OR10G9, OR9I1, OR2G6, OR5B12, OR6Y1, OR10R2, OR13C9, OR13C8, OR5B17, OR52R1, OR1B1, OR2Y1, OR11L1, OR10H1, OR5B3, OR10Z1, OR4X1, OR2F1, OR4X2, TAS2R38, OR13D1, OR10Q1	187	710	16881	18.563124199743918	3.2718543841591423E-164	1.6359271920795712E-164	5.130255052831907E-163
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	143	71.5	4.8128339647694175E-149	OR51D1, OR1J2, OR10T2, OR1J1, OR5L1, OR5L2, OR4S1, OR1J4, OR4L1, OR4C6, OR52D1, OR8K1, OR6C68, TAS2R60, OR6C2, OR4S2, OR8K5, OR6C1, OR51L1, OR8A1, OR14C36, OR5R1, OR10S1, OR1K1, OR1S2, OR4D6, OR4D5, OR4E2, OR8B8, OR2D2, OR8B2, OR8B3, OR8B4, OR2Z1, OR10K1, OR10K2, OR2L8, OR51B2, GPR148, OR11G2, OR2L3, OR4A5, OR2L2, OR1G1, OR52N5, OR52N4, OR51B6, OR2T6, OR2C1, OR2A2, OR2A5, OR5P2, OR7G1, OR13H1, OR52E2, OR4B1, OR6C76, OR2M2, OR6C70, OR2M4, OR14A16, OR51S1, OR52M1, OR52E6, OR4A15, OR4A16, OR6K3, OR51A2, OR6K2, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR8D4, OR10A3, OR52H1, OR1A1, OR5H2, OR1N2, OR51Q1, OR1N1, OR4C13, OR4C16, OR4C15, OR7G3, OR4C12, OR4C11, OR14J1, MAS1L, OR5I1, GPR174, OR52B2, OR4A47, OR10J3, OR10J1, OR51G2, OR2W1, OR4N5, OR4K13, OR5H6, OR1C1, OR6F1, OR5D14, OR1L8, OR2A25, OR52J3, OR5J2, FFAR1, OR51F1, OR1L3, OR10G2, OR10G4, OR9Q2, OR13C5, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR10G8, OR13C2, OR10G9, OR9I1, OR2G6, OR5B12, OR6Y1, OR10R2, OR13C9, OR13C8, OR5B17, OR52R1, OR1B1, OR2Y1, OR11L1, OR5B3, OR10Z1, OR4X1, OR2F1, OR4X2, TAS2R38, OR13D1, OR10Q1	179	899	16792	14.921955493689449	6.497325852438713E-147	3.2486629262193567E-147	5.642425659367987E-146
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	151	75.5	1.1407539072163977E-65	OR51D1, OR1J2, OR10T2, OR1J1, OR5L1, OR5L2, OR4S1, OR1J4, OR4L1, OR4C6, OR52D1, OR8K1, OR6C68, TAS2R60, OR6C2, OR4S2, OR8K5, OR6C1, OR51L1, OR8A1, OR14C36, OR5R1, OR10S1, OR1K1, C4B, OR1S2, OR4D6, OR4D5, OR4E2, OR8B8, OR13F1, OR2D2, OR8B2, OR8B3, OR8B4, OR2Z1, OR10K1, OR10K2, GJA10, OR2L8, OR51B2, GPR148, OR11G2, OR2L3, OR4A5, OR2L2, OR1G1, OR52N5, OR52N4, OR51B6, OR2T6, OR2C1, OR2A2, OR2A5, OR5P2, OR7G1, OR13H1, OR52E2, OR4B1, OR6C76, OR6T1, OR2M2, OR6C70, OR2M4, OR14A16, OR56A4, OR51S1, OR52M1, OR52E6, OR4A15, OR4A16, OR6K3, OR51A2, OR6K2, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR8D4, OR10A3, OR52H1, OR1A1, OR5H2, OR1N2, OR51Q1, OR1N1, OR4C13, OR4C16, OR4C15, OR7G3, OR4C12, OR4C11, OR14J1, MAS1L, OR5I1, GPR174, OR52B2, PCDHB5, OR4A47, OR10J3, OR10J1, OR51G2, OR2W1, KCNA10, OR4N5, OR4K13, OR5H6, OR1C1, OR6F1, OR5D14, OR1L8, OR2A25, OR52J3, FFAR1, OR5J2, OR51F1, OR1L3, OR10G2, OR10G4, OR9Q2, OR13C5, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR10G8, OR13C2, OR10G9, OR9I1, OR2G6, OR5B12, OR6Y1, OR10R2, OR13C9, OR13C8, OR5B17, OR52R1, OR1B1, OR2Y1, OR11L1, OR10H1, OR5B3, OR10Z1, OR4X1, OR2F1, OR4X2, TAS2R38, OR13D1, OR10Q1	184	4121	18224	3.6291107055062612	4.79116641030887E-64	4.79116641030887E-64	1.0557657459655872E-62
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	151	75.5	7.651412735373981E-52	OR51D1, OR1J2, OR10T2, OR1J1, OR5L1, OR5L2, OR4S1, OR1J4, OR4L1, OR4C6, OR52D1, OR8K1, OR6C68, TAS2R60, OR6C2, OR4S2, OR8K5, OR6C1, OR51L1, OR8A1, OR14C36, OR5R1, OR10S1, OR1K1, OR1S2, OR4D6, OR4D5, OR4E2, OR8B8, OR13F1, OR2D2, OR8B2, OR8B3, OR8B4, OR2Z1, OR10K1, OR10K2, GJA10, OR2L8, OR51B2, GPR148, OR11G2, OR2L3, OR4A5, OR2L2, OR1G1, OR52N5, OR52N4, OR51B6, OR2T6, OR2C1, OR2A2, OR2A5, OR5P2, OR7G1, OR13H1, OR52E2, OR4B1, OR6C76, OR6T1, OR2M2, OR6C70, OR2M4, OR14A16, OR56A4, OR51S1, OR52M1, OR52E6, OR4A15, OR4A16, OR6K3, OR51A2, OR6K2, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR8D4, CLEC14A, OR10A3, OR52H1, OR1A1, OR5H2, OR1N2, OR51Q1, OR1N1, OR4C13, OR4C16, OR4C15, OR7G3, OR4C12, OR4C11, OR14J1, MAS1L, OR5I1, GPR174, OR52B2, PCDHB5, OR4A47, OR10J3, OR10J1, OR51G2, OR2W1, KCNA10, OR4N5, OR4K13, OR5H6, OR1C1, OR6F1, OR5D14, OR1L8, OR2A25, OR52J3, FFAR1, OR5J2, OR51F1, OR1L3, OR10G2, OR10G4, OR9Q2, OR13C5, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR10G8, OR13C2, OR10G9, OR9I1, OR2G6, OR5B12, OR6Y1, OR10R2, OR13C9, OR13C8, OR5B17, OR52R1, OR1B1, OR2Y1, OR11L1, OR10H1, OR5B3, OR10Z1, OR4X1, OR2F1, OR4X2, TAS2R38, OR13D1, OR10Q1	184	5163	18224	2.896681235210402	3.213593348857072E-50	1.606796674428536E-50	7.081369104371003E-49
GOTERM_BP_DIRECT	GO:0050907~detection of chemical stimulus involved in sensory perception	38	19.0	3.1326926753264483E-49	OR1L8, OR10T2, OR2A25, OR1N2, OR1L3, OR1N1, OR4S1, OR4L1, OR4C6, OR4A5, OR1G1, OR4C13, OR4C16, OR4C15, OR4S2, OR4C12, OR4C11, OR10R2, OR1K1, OR4A47, OR4B1, OR10J3, OR4D6, OR10J1, OR1S2, OR4D5, OR10Z1, OR4E2, OR4X1, OR4X2, OR4A15, OR4N5, OR4K13, OR4A16, OR6K3, OR6K2, OR10K1, OR10K2	179	95	16792	37.52402234636872	4.229135111690705E-47	1.4097117038969017E-47	3.672677192599341E-46
GOTERM_BP_DIRECT	GO:0007608~sensory perception of smell	38	19.0	1.2348823020934997E-39	OR2L8, OR10A3, OR1C1, OR2L3, OR10G2, OR52D1, OR10G4, OR2L2, OR2G3, OR13C5, OR2G2, OR13C4, OR10G7, OR13C3, OR10G8, OR13C2, OR10G9, OR6C2, OR2G6, OR51B6, OR2T6, OR6Y1, OR13C9, OR13C8, OR2A2, OR2A5, OR13H1, OR10S1, OR2Y1, OR2M2, OR2M4, OR2W1, OR2F1, OR13D1, OR8B8, OR2D2, OR51I1, OR2Z1	179	159	16792	22.42001335160395	1.6670911078262247E-37	4.1677277695655616E-38	1.447739863588998E-36
GOTERM_MF_DIRECT	GO:0005549~odorant binding	29	14.499999999999998	3.193158344171318E-33	OR5D14, OR5H2, OR5J2, OR5L1, OR5L2, OR9Q2, OR8K1, OR9I1, OR8K5, OR5B12, OR14J1, OR8A1, OR5B17, OR14C36, OR5I1, OR5R1, OR5P2, OR11L1, OR5B3, OR14A16, OR8B8, OR8B2, OR10Q1, OR8D1, OR8B3, OR5H6, OR8D2, OR8B4, OR8D4	187	92	16881	28.455533596837945	2.0755529237113568E-31	6.918509745704522E-32	3.254458977711126E-30
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	37	18.5	1.7027371299650208E-32	OR1L8, OR10T2, OR2A25, OR1N2, OR1L3, OR1N1, OR4S1, OR4L1, OR4C6, OR4A5, OR1G1, OR4C13, OR4C16, OR4C15, OR4S2, OR4C12, OR4C11, OR10R2, OR1K1, OR4A47, OR4B1, OR10J3, OR4D6, OR1S2, OR4D5, OR10Z1, OR4E2, OR4X1, OR4X2, OR4A15, OR4N5, OR4K13, OR4A16, OR6K3, OR6K2, OR10K1, OR10K2	187	214	16881	15.607901444350043	1.1067791344772636E-30	2.766947836193159E-31	1.735425413340989E-29
