Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	43	0.15427115846876907	0.0026800062047821396	SRSF1, HINT3, MYL6, ATP1B1, PRDX4, TSPAN6, EXTL2, PDHB, TIMP1, PSMB5, ATP6V0C, ARPC3, IFT20, LCAT, SYAP1, DNAJA1, IDH2, IAH1, AK1, EIF2S3, RFNG, TAX1BP3, RPS4X, DBI, SLC9A3R2, RPL28, SOD3, LRRC26, C8G, PSMB9, LCN1, PLSCR1, CLIC3, RELT, TMEM106A, BEX5, HIST1H2AH, TPRG1L, MAT2B, DNAJB1, GFRA4, SNX12, SNRPE	179	2811	18224	1.5573932416345204	0.43689615813529403	0.43689615813529403	3.3436804765596073
GOTERM_BP_DIRECT	GO:0033209~tumor necrosis factor-mediated signaling pathway	6	0.021526208158432893	0.0061869362068226325	PSMB5, RELT, PSMD10, TNFSF12-TNFSF13, PSMB9, TRADD	166	118	16792	5.143557279967327	0.9937977343271023	0.9937977343271023	9.113475953319561
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	65	0.233200588383023	0.02027532317202567	HINT3, SRSF1, LOR, ZAR1, C9ORF72, E2F5, CRABP1, TIRAP, MED22, SRP19, CASP6, KISS1, RBM8A, ILK, FTSJ1, CCNO, CCNA2, UBE2J1, EIF2S3, LRRC26, DDIT4, MRTO4, SKOR2, RELT, CLIC3, RANGRF, HAUS7, UROD, NEURL2, TRUB2, SGCB, RRAGA, GPR143, TRIB2, MTMR1, ARPC3, SAC3D1, SYAP1, RPL9, RNF167, FAM89B, MAF, OSGEP, MMADHC, GMNN, AK1, TAX1BP3, FOXP3, CDKN3, CLEC11A, RPL28, SOD3, TRADD, PSMB9, FEM1C, C4ORF46, DESI1, WDR26, PSMD10, BEX5, IRF1, TMEM86B, DNAJB1, PLCXD1, DNAL4	179	5222	18224	1.267264195956514	0.9875185208758144	0.8882794597033045	22.86278463515714
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	3	0.010763104079216447	0.024829533233077777	RPL9, FTSJ1, MRTO4	166	25	16792	12.13879518072289	0.999999998859849	0.9999662338786672	32.10011195858529
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	4	0.01435080543895526	0.028903504308404483	RPL9, RSL24D1, RPL28, MRTO4	179	68	18224	5.988826815642458	0.9981200305059317	0.8765805517093578	31.042799444312365
GOTERM_CC_DIRECT	GO:0005730~nucleolus	15	0.05381552039608223	0.04162685031695241	RBM34, E2F5, EXOSC6, TAF5, YPEL3, SRP19, MRTO4, VCX2, RBM4B, PLSCR1, RPL9, HAUS7, DNAJB1, RSL24D1, PHF6	179	857	18224	1.7819729731491558	0.9998882075472594	0.8971739575253462	41.65637853473636
GOTERM_BP_DIRECT	GO:0007050~cell cycle arrest	5	0.017938506798694076	0.050458961864174395	AK1, ILK, IRF1, RRAGA, CDKN3	166	141	16792	3.5871144151072376	1.0	0.9999992734745937	54.94211849037036
GOTERM_MF_DIRECT	GO:0031625~ubiquitin protein ligase binding	7	0.025113909518171704	0.06152195137420972	ATP6V0C, SUMO2, MAP1LC3B, UBE2J1, DNAJA1, RRAGA, TRIB2	165	287	16881	2.495343680709534	0.9999999755061656	0.9999999755061656	56.72955405266443
GOTERM_BP_DIRECT	GO:0009887~organ morphogenesis	4	0.01435080543895526	0.06211933916264726	E2F5, GMNN, RFNG, PITX3	166	92	16792	4.398114195914092	1.0	0.9999980174818923	62.74830380094223
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	4	0.01435080543895526	0.0653907095635915	RPL9, RPS4X, SRP19, RPL28	166	94	16792	4.304537298128685	1.0	0.9999845400045009	64.69950891952456
