Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007265~Ras protein signal transduction	5	0.31387319522912743	1.9138276804713998E-8	NRAS, CDKN2A, NF1, TP53, RB1	9	70	16792	133.2698412698413	5.071630553632467E-6	5.071630553632467E-6	2.509025507357876E-5
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	4	0.25109855618330196	6.673823667631154E-4	CDKN2A, TP53, RB1, ARID2	9	396	16792	18.846240179573513	0.16214931021817414	0.08465815687152922	0.8714105865381794
GOTERM_BP_DIRECT	GO:0006469~negative regulation of protein kinase activity	3	0.18832391713747645	9.414470416454155E-4	CDKN2A, NF1, RB1	9	99	16792	56.53872053872053	0.2208883959093102	0.0798332044341723	1.2272247055136964
GOTERM_BP_DIRECT	GO:0007050~cell cycle arrest	3	0.18832391713747645	0.001896392514873237	CDKN2A, TP53, RB1	9	141	16792	39.69739952718676	0.3952989831271334	0.11816938025428536	2.4578200547852203
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	4	0.25109855618330196	0.0041200923044674214	BRAF, COL7A1, TP53, RB1	9	749	16881	10.016911437472183	0.21941855618043282	0.21941855618043282	4.053118385115406
GOTERM_BP_DIRECT	GO:0090399~replicative senescence	2	0.12554927809165098	0.00570391520403019	CDKN2A, TP53	9	12	16792	310.96296296296293	0.7803818303267669	0.2615286455427692	7.224940596601082
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	3	0.18832391713747645	0.0063821346842722095	NRAS, BRAF, NF1	9	262	16792	21.36386768447837	0.8167100048026465	0.24631513645592462	8.05115960405386
GOTERM_BP_DIRECT	GO:0001953~negative regulation of cell-matrix adhesion	2	0.12554927809165098	0.007125437958750916	CDKN2A, NF1	9	15	16792	248.77037037037036	0.8496817340387727	0.23716563212193786	8.948855041730363
GOTERM_MF_DIRECT	GO:0008134~transcription factor binding	3	0.18832391713747645	0.00738595157843655	CDKN2A, TP53, RB1	9	284	16881	19.81338028169014	0.3590486784997954	0.19940564484865086	7.160149214752898
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	3	0.18832391713747645	0.008295999721415995	CDKN2A, NF1, TP53	9	300	16792	18.657777777777778	0.8900368319802558	0.24115005775183673	10.346155719785788
GOTERM_BP_DIRECT	GO:0071158~positive regulation of cell cycle arrest	2	0.12554927809165098	0.011851012429385379	CDKN2A, TP53	9	25	16792	149.26222222222222	0.9575435230141862	0.2960378189026124	14.46928163925043
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	3	0.18832391713747645	0.012676723604927156	CDKN2A, SNAP91, TP53	9	376	16881	14.965425531914892	0.5348826455563256	0.22520374169140012	12.001809981896805
GOTERM_BP_DIRECT	GO:0048147~negative regulation of fibroblast proliferation	2	0.12554927809165098	0.014676900625387445	NF1, TP53	9	31	16792	120.37275985663081	0.9801232199597071	0.32417445520015975	17.621028470246745
