Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	177	88.5	6.038606208531909E-274	OR10T2, OR2J3, OR5L1, OR5L2, OR2J2, OR1J4, OR4L1, OR4C6, OR6C65, OR4C3, OR4D2, OR6C4, OR6C2, OR52L1, OR8K5, OR51T1, OR6C3, OR8K3, OR6C1, OR51L1, OR7C2, OR8A1, OR14C36, OR5M1, OR10S1, OR4M2, OR4D9, OR4M1, OR5M9, OR10AG1, OR1D2, OR1S1, OR4E2, OR5H14, OR5H15, OR7D4, OR2Z1, OR10K1, OR10K2, OR2B6, OR13G1, OR2L8, OR2B3, OR51B2, OR2T2, OR2T1, OR2T4, OR2T3, OR11G2, OR2L3, OR4A5, OR2L2, OR52N2, OR56B1, OR2T33, OR5AS1, OR51B5, OR51B6, OR51B4, OR5F1, OR4K5, OR2A2, OR2M7, OR4K2, OR5P3, OR2A5, OR7G2, OR5P2, OR5M10, OR5M11, OR52E2, OR4B1, OR52E4, OR6T1, OR6C75, OR1F1, OR2M2, OR6C70, OR2M3, OR4K1, OR2M4, OR5AC2, OR2M5, OR56A3, OR6B1, OR51S1, OR52M1, OR5AK2, OR52E6, OR4A15, OR4A16, OR8B12, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR4C46, OR10A6, OR52H1, OR5H2, OR52A5, OR4K17, OR1N2, OR51Q1, OR7E24, OR10A7, OR4C13, OR4C16, OR9A4, OR4C15, OR2T12, OR14J1, OR9A2, OR10P1, OR52B4, OR4A47, OR10J5, OR10J3, OR51G1, OR10J1, OR51G2, OR2W1, OR4K14, OR10X1, OR4N5, OR4K13, OR4N4, OR6V1, OR5H6, OR5D13, OR6F1, OR1L8, OR5D14, OR2A25, OR8H3, OR5D16, OR52J3, OR5J2, OR51F1, OR51F2, OR5D18, OR10G2, OR10G4, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR2G6, OR8I2, OR4Q3, OR6Y1, OR10R2, OR13C8, OR51V1, OR52R1, OR2A12, OR2A14, OR5K4, OR11L1, OR5K1, OR10H1, OR9G4, OR10H4, OR5T3, OR5B3, OR1M1, OR5T1, OR10Z1, OR51M1, OR2F2, OR4X1, OR2F1, OR4X2, OR8H1, OR8H2	196	425	16792	35.68048019207683	5.736675898105314E-272	5.736675898105314E-272	6.637664938560183E-271
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	177	88.5	5.631257978141845E-273	OR10T2, OR2J3, OR5L1, OR5L2, OR2J2, OR1J4, OR4L1, OR4C6, OR6C65, OR4C3, OR4D2, OR6C4, OR6C2, OR52L1, OR8K5, OR51T1, OR6C3, OR8K3, OR6C1, OR51L1, OR7C2, OR8A1, OR14C36, OR5M1, OR10S1, OR4M2, OR4D9, OR4M1, OR5M9, OR10AG1, OR1D2, OR1S1, OR4E2, OR5H14, OR5H15, OR7D4, OR2Z1, OR10K1, OR10K2, OR2B6, OR13G1, OR2L8, OR2B3, OR51B2, OR2T2, OR2T1, OR2T4, OR2T3, OR11G2, OR2L3, OR4A5, OR2L2, OR52N2, OR56B1, OR2T33, OR5AS1, OR51B5, OR51B6, OR51B4, OR5F1, OR4K5, OR2A2, OR2M7, OR4K2, OR5P3, OR2A5, OR7G2, OR5P2, OR5M10, OR5M11, OR52E2, OR4B1, OR52E4, OR6T1, OR6C75, OR1F1, OR2M2, OR6C70, OR2M3, OR4K1, OR2M4, OR5AC2, OR2M5, OR56A3, OR6B1, OR51S1, OR52M1, OR5AK2, OR52E6, OR4A15, OR4A16, OR8B12, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR4C46, OR10A6, OR52H1, OR5H2, OR52A5, OR4K17, OR1N2, OR51Q1, OR7E24, OR10A7, OR4C13, OR4C16, OR9A4, OR4C15, OR2T12, OR14J1, OR9A2, OR10P1, OR52B4, OR4A47, OR10J5, OR10J3, OR51G1, OR10J1, OR51G2, OR2W1, OR4K14, OR10X1, OR4N5, OR4K13, OR4N4, OR6V1, OR5H6, OR5D13, OR6F1, OR1L8, OR5D14, OR2A25, OR8H3, OR5D16, OR52J3, OR5J2, OR51F1, OR51F2, OR5D18, OR10G2, OR10G4, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR2G6, OR8I2, OR4Q3, OR6Y1, OR10R2, OR13C8, OR51V1, OR52R1, OR2A12, OR2A14, OR5K4, OR11L1, OR5K1, OR10H1, OR9G4, OR10H4, OR5T3, OR5B3, OR1M1, OR5T1, OR10Z1, OR51M1, OR2F2, OR4X1, OR2F1, OR4X2, OR8H1, OR8H2	196	431	16881	35.37024717079407	2.53406609016383E-271	2.53406609016383E-271	5.295826270517137E-270
GOTERM_MF_DIRECT	GO:0004930~G-protein coupled receptor activity	181	90.5	4.85202252092486E-237	OR10T2, OR2J3, OR5L1, OR5L2, OR2J2, OR1J4, OR4L1, OR4C6, OR6C65, OR4C3, OR4D2, TAS2R60, OR6C4, OR6C2, OR52L1, OR8K5, OR51T1, OR6C3, OR8K3, OR6C1, OR7C2, OR51L1, OR8A1, OR14C36, OR5M1, OR10S1, OR4M2, OR4D9, OR4M1, OR5M9, OR10AG1, OR1D2, OR1S1, OR4E2, OR5H14, OR5H15, OR7D4, OR2Z1, OR10K1, OR10K2, OR2B6, OR13G1, OR2L8, OR2B3, OR51B2, OR2T2, OR2T1, OR2T4, OR2T3, OR11G2, OR2L3, OR4A5, OR2L2, OR52N2, OR56B1, OR2T33, OR5AS1, OR51B5, OR51B6, OR51B4, OR5F1, OR4K5, OR2A2, OR2M7, OR4K2, OR5P3, OR2A5, OR7G2, OR5P2, OR5M10, OR5M11, OR52E2, OR4B1, OR52E4, OR6T1, OR6C75, OR1F1, OR2M2, OR6C70, OR2M3, OR4K1, OR2M4, OR5AC2, OR2M5, OR56A3, OR6B1, OR51S1, OR52M1, OR5AK2, OR52E6, OR4A15, OR4A16, OR8B12, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR4C46, OR10A6, OR52H1, OR5H2, OR52A5, OR4K17, OR1N2, OR51Q1, OR7E24, OR10A7, OR4C13, OR4C16, OR9A4, OR4C15, OR2T12, OR14J1, OR9A2, OR10P1, OR52B4, OR4A47, OR10J5, OR10J3, OR51G1, OR10J1, OR51G2, OR2W1, OR4K14, OR10X1, OR4N5, OR4K13, OR4N4, OR6V1, OR5H6, OR5D13, OR6F1, OR1L8, OR5D14, OR2A25, OR8H3, OR5D16, OR52J3, OR5J2, OR51F1, OR51F2, OR5D18, OR10G2, OR10G4, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR2G6, OR8I2, OR4Q3, OR6Y1, OR10R2, OR13C8, OR51V1, TAS2R41, OR52R1, OR2A12, OR2A14, OR5K4, OR11L1, OR5K1, OR10H1, OR9G4, OR10H4, OR5T3, OR5B3, OR1M1, OR5T1, OR10Z1, OR51M1, OR2F2, TAS2R39, OR4X1, OR2F1, OR4X2, TAS2R38, OR8H1, OR8H2	196	710	16881	21.956460189709684	2.183410134416187E-235	1.0917050672080935E-235	4.5630067795141996E-234
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	175	87.5	7.541419835198871E-202	OR10T2, OR2J3, OR5L1, OR5L2, OR2J2, OR1J4, OR4L1, OR4C6, OR6C65, OR4C3, OR4D2, TAS2R60, OR6C4, OR6C2, OR52L1, OR8K5, OR51T1, OR6C3, OR8K3, OR6C1, OR7C2, OR51L1, OR8A1, OR14C36, OR5M1, OR10S1, OR4M2, OR4D9, OR4M1, OR5M9, OR10AG1, OR1D2, OR1S1, OR4E2, OR5H14, OR5H15, OR7D4, OR2Z1, OR10K1, OR10K2, OR2B6, OR13G1, OR2L8, OR2B3, OR51B2, OR2T2, OR2T1, OR2T4, OR2T3, OR11G2, OR2L3, OR4A5, OR2L2, OR52N2, OR56B1, OR2T33, OR5AS1, OR51B5, OR51B6, OR51B4, OR5F1, OR4K5, OR2A2, OR2M7, OR4K2, OR5P3, OR2A5, OR7G2, OR5P2, OR5M10, OR5M11, OR52E2, OR4B1, OR52E4, OR6C75, OR1F1, OR2M2, OR6C70, OR2M3, OR4K1, OR2M4, OR5AC2, OR2M5, OR56A3, OR6B1, OR51S1, OR52M1, OR5AK2, OR52E6, OR4A15, OR4A16, OR8B12, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR4C46, OR10A6, OR52H1, OR5H2, OR52A5, OR4K17, OR1N2, OR51Q1, OR7E24, OR10A7, OR4C13, OR4C16, OR9A4, OR4C15, OR2T12, OR14J1, OR9A2, OR10P1, OR52B4, OR4A47, OR10J3, OR51G1, OR10J1, OR51G2, OR2W1, OR4K14, OR10X1, OR4N5, OR4K13, OR4N4, OR6V1, OR5H6, OR5D13, OR6F1, OR1L8, OR5D14, OR2A25, OR8H3, OR5D16, OR52J3, OR5J2, OR51F1, OR51F2, OR5D18, OR10G2, OR10G4, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR2G6, OR8I2, OR4Q3, OR6Y1, OR10R2, OR13C8, OR51V1, TAS2R41, OR52R1, OR2A12, OR2A14, OR5K4, OR11L1, OR5K1, OR9G4, OR5B3, OR1M1, OR10Z1, OR51M1, OR2F2, TAS2R39, OR4X1, OR2F1, OR4X2, TAS2R38, OR8H1, OR8H2	196	899	16792	16.677260448116957	7.164348843438928E-200	3.582174421719464E-200	8.289564892695941E-199
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	184	92.0	9.052617831295372E-100	SLC44A4, OR10T2, OR2J3, OR5L1, OR5L2, OR2J2, OR1J4, OR4L1, OR4C6, OR6C65, OR4C3, OR4D2, TAS2R60, OR6C4, OR6C2, OR52L1, OR8K5, OR51T1, OR6C3, OR8K3, OR6C1, OR7C2, OR51L1, OR8A1, OR14C36, OR5M1, OR10S1, C4B, OR4M2, OR4D9, OR4M1, OR5M9, OR10AG1, OR1D2, OR1S1, OR4E2, OR5H14, OR5H15, OR7D4, OR2Z1, OR10K1, OR10K2, OR2B6, OR13G1, OR2L8, OR2B3, OR51B2, OR2T2, OR2T1, OR2T4, OR2T3, OR11G2, OR2L3, OR4A5, OR2L2, OR52N2, OR56B1, OR2T33, OR5AS1, OR51B5, OR51B6, OR51B4, OR5F1, OR4K5, OR2A2, OR2M7, OR4K2, OR5P3, OR2A5, OR7G2, OR5P2, OR5M10, OR5M11, OR52E2, OR4B1, OR52E4, OR6T1, OR6C75, OR1F1, OR2M2, OR6C70, OR2M3, OR4K1, OR2M4, OR5AC2, OR2M5, OR56A3, OR6B1, OR51S1, OR52M1, OR5AK2, OR52E6, OR4A15, OR4A16, OR8B12, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR4C46, OR10A6, OR52H1, OR5H2, OR52A5, OR4K17, OR1N2, OR51Q1, OR7E24, OR10A7, OR4C13, OR4C16, OR9A4, OR4C15, OR2T12, OR14J1, OR9A2, OR10P1, OR52B4, OR4A47, PCDHB1, OR10J5, OR10J3, OR51G1, OR10J1, OR51G2, OR2W1, OR4K14, OR10X1, OR4N5, OR4K13, OR4N4, OR6V1, OR5H6, OR5D13, OR6F1, OR1L8, OR5D14, OR2A25, OR8H3, OR5D16, OR52J3, OR5J2, OR51F1, OR51F2, OR5D18, OR10G2, OR10G4, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR2G6, OR8I2, OR4Q3, OR6Y1, OR10R2, OR13C8, OR51V1, TAS2R41, OR52R1, OR2A12, OR2A14, OR5K4, OR11L1, OR5K1, OR10H1, OR9G4, OR10H4, OR5T3, OR5B3, OR1M1, OR5T1, OR10Z1, OR51M1, OR2F2, TAS2R39, OR4X1, OR2F1, OR4X2, TAS2R38, OR8H1, OR8H2	199	4121	18224	4.088893874858398	4.073678024082918E-98	4.073678024082918E-98	8.513389284243928E-97
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	183	91.5	1.6310911115575777E-80	SLC44A4, OR10T2, OR2J3, OR5L1, OR5L2, OR2J2, OR1J4, OR4L1, OR4C6, OR6C65, OR4C3, OR4D2, TAS2R60, OR6C4, OR6C2, OR52L1, OR8K5, OR51T1, OR6C3, OR8K3, OR6C1, OR7C2, OR51L1, OR8A1, OR14C36, OR5M1, OR10S1, OR4M2, OR4D9, OR4M1, OR5M9, OR10AG1, OR1D2, OR1S1, OR4E2, OR5H14, OR5H15, OR7D4, OR2Z1, OR10K1, OR10K2, OR2B6, OR13G1, OR2L8, OR2B3, OR51B2, OR2T2, OR2T1, OR2T4, OR2T3, OR11G2, OR2L3, OR4A5, OR2L2, OR52N2, OR56B1, OR2T33, OR5AS1, OR51B5, OR51B6, OR51B4, OR5F1, OR4K5, OR2A2, OR2M7, OR4K2, OR5P3, OR2A5, OR7G2, OR5P2, OR5M10, OR5M11, OR52E2, OR4B1, OR52E4, OR6T1, OR6C75, OR1F1, OR2M2, OR6C70, OR2M3, OR4K1, OR2M4, OR5AC2, OR2M5, OR56A3, OR6B1, OR51S1, OR52M1, OR5AK2, OR52E6, OR4A15, OR4A16, OR8B12, OR8D1, OR51A4, OR8D2, OR51I1, OR51A7, OR4C46, OR10A6, OR52H1, OR5H2, OR52A5, OR4K17, OR1N2, OR51Q1, OR7E24, OR10A7, OR4C13, OR4C16, OR9A4, OR4C15, OR2T12, OR14J1, OR9A2, OR10P1, OR52B4, OR4A47, PCDHB1, OR10J5, OR10J3, OR51G1, OR10J1, OR51G2, OR2W1, OR4K14, OR10X1, OR4N5, OR4K13, OR4N4, OR6V1, OR5H6, OR5D13, OR6F1, OR1L8, OR5D14, OR2A25, OR8H3, OR5D16, OR52J3, OR5J2, OR51F1, OR51F2, OR5D18, OR10G2, OR10G4, OR2G3, OR13C4, OR2G2, OR13C3, OR10G7, OR2G6, OR8I2, OR4Q3, OR6Y1, OR10R2, OR13C8, OR51V1, TAS2R41, OR52R1, OR2A12, OR2A14, OR5K4, OR11L1, OR5K1, OR10H1, OR9G4, OR10H4, OR5T3, OR5B3, OR1M1, OR5T1, OR10Z1, OR51M1, OR2F2, TAS2R39, OR4X1, OR2F1, OR4X2, TAS2R38, OR8H1, OR8H2	199	5163	18224	3.2459333272989004	7.3399100020091E-79	3.66995500100455E-79	1.533933481954223E-77
GOTERM_BP_DIRECT	GO:0007608~sensory perception of smell	54	27.0	2.9780927615488674E-64	OR10A6, OR2J3, OR52A5, OR2J2, OR10A7, OR6C2, OR6C3, OR2T12, OR10P1, OR10S1, OR10AG1, OR1D2, OR2W1, OR2Z1, OR2B6, OR2L8, OR2B3, OR2T2, OR2T1, OR2T4, OR2T3, OR10G2, OR2L3, OR10G4, OR2L2, OR2G3, OR2G2, OR13C4, OR10G7, OR13C3, OR2G6, OR51B5, OR2T33, OR51B6, OR6Y1, OR5F1, OR51B4, OR13C8, OR51V1, OR2A2, OR2M7, OR2A5, OR2A12, OR2A14, OR2M2, OR2M3, OR2M4, OR5AC2, OR2M5, OR51M1, OR2F2, OR6B1, OR2F1, OR51I1	196	159	16792	29.096649980747014	2.829188123471424E-62	9.43062707823808E-63	3.27353386269555E-61
GOTERM_BP_DIRECT	GO:0050907~detection of chemical stimulus involved in sensory perception	40	20.0	2.5419219034326128E-51	OR13G1, OR1L8, OR10T2, OR2A25, OR4K17, OR1N2, OR4L1, OR4C6, OR4C3, OR4A5, OR4C13, OR4D2, OR4C16, OR4C15, OR4Q3, OR10R2, OR4K5, OR4K2, OR4A47, OR4M2, OR4B1, OR4D9, OR4M1, OR10J3, OR4K1, OR10J1, OR1S1, OR10Z1, OR4E2, OR4X1, OR4X2, OR4A15, OR4K14, OR4N5, OR4K13, OR4A16, OR4N4, OR4C46, OR10K1, OR10K2	196	95	16792	36.07303974221268	2.4148258082609823E-49	6.037064520652456E-50	2.794092761196097E-48
GOTERM_MF_DIRECT	GO:0005549~odorant binding	38	19.0	2.3766352274932915E-48	OR5D13, OR5D14, OR5H2, OR5J2, OR5L1, OR8H3, OR5D16, OR5L2, OR5D18, OR8K5, OR8K3, OR8I2, OR5AS1, OR14J1, OR8A1, OR5F1, OR14C36, OR5P3, OR5P2, OR5K4, OR5M10, OR5M1, OR5M11, OR11L1, OR5K1, OR9G4, OR5M9, OR5AC2, OR5B3, OR5H14, OR5AK2, OR5H15, OR8B12, OR8D1, OR8H1, OR5H6, OR8H2, OR8D2	196	92	16881	35.57442324755989	1.0694858523719812E-46	3.564952841239937E-47	2.2350684912767128E-45
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	39	19.5	2.0928340748197196E-34	OR13G1, OR1L8, OR10T2, OR2A25, OR4K17, OR1N2, OR4L1, OR4C6, OR4C3, OR4A5, OR4C13, OR4D2, OR4C16, OR4C15, OR4Q3, OR10R2, OR4K5, OR4K2, OR4A47, OR4M2, OR4B1, OR4D9, OR4M1, OR10J3, OR4K1, OR1S1, OR10Z1, OR4E2, OR4X1, OR4X2, OR4A15, OR4K14, OR4N5, OR4K13, OR4A16, OR4N4, OR4C46, OR10K1, OR10K2	196	214	16881	15.696142475681862	9.417753336688739E-33	2.3544383341721847E-33	1.9681722478856971E-31
