Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	45	22.388059701492537	2.6040725803032206E-22	TAS2R4, TAS2R3, GPR6, CXCR1, PF4, OR5A2, OR4C3, OR10A7, OR5AU1, TAS2R46, GPR25, TAS2R42, OR5AP2, OR2T5, OR4Q3, OR2T8, ADRA2B, OR7A10, OR6N2, FZD8, OR2A7, OR5M10, OR5K4, OR52I1, RXFP3, OR5K2, OR5M3, OR11H1, OR2AE1, TAS2R13, TAS2R39, OR51I2, CCR5, PPBP, OR3A2, OR5H15, OR4N4, GPR15, OR6V1, TAS2R31, GHSR, OR10V1, OR4P4, OR4C46, OR13J1	143	899	16792	5.877859626469193	1.3957829030425263E-19	1.3957829030425263E-19	3.7866182217842237E-19
GOTERM_MF_DIRECT	GO:0004930~G-protein coupled receptor activity	43	21.393034825870647	1.3425456637809348E-21	TAS2R4, TAS2R3, GPR6, CXCR1, OR5A2, OR4C3, OR10A7, OR5AU1, TAS2R46, GPR25, TAS2R42, OR5AP2, OR2T5, OR4Q3, OR2T8, OR7A10, OR6N2, FZD8, OR2A7, OR5M10, OR5K4, OR52I1, RXFP3, OR5K2, OR5M3, OR11H1, OR2AE1, TAS2R13, TAS2R39, OR56A1, OR51I2, CCR5, OR3A2, OR5H15, OR4N4, GPR15, OR6V1, TAS2R31, GHSR, OR10V1, OR4P4, OR4C46, OR13J1	167	710	16881	6.121978578055156	2.1480730620494958E-19	2.1480730620494958E-19	1.6211077291642538E-18
GOTERM_CC_DIRECT	GO:0005882~intermediate filament	20	9.950248756218906	6.092032206272452E-18	KRTAP21-2, KRT6C, KRTAP15-1, KRT6A, KRTAP13-4, KRTAP13-3, KRT34, KRTAP13-2, KRTAP6-1, KRTAP6-2, KRTAP5-6, KRT36, KRTAP23-1, KRTAP19-8, KRTAP19-5, KRTAP19-6, KRTAP22-1, KRTAP19-3, KRTAP19-1, KRTAP19-2	191	113	18224	16.88736505583098	6.213872850397901E-16	6.213872850397901E-16	6.786964242464745E-15
GOTERM_CC_DIRECT	GO:0045095~keratin filament	19	9.45273631840796	1.3076131019949934E-17	KRT6C, KRT6A, KRTAP9-2, KRTAP24-1, KRTAP10-2, KRTAP10-4, KRTAP5-2, KRTAP10-11, KRTAP5-3, KRTAP10-9, KRTAP10-8, KRTAP12-1, KRTAP5-7, KRTAP12-2, KRTAP12-4, KRTAP4-11, KRTAP4-7, KRTAP3-2, KRTAP1-3	191	100	18224	18.128586387434556	1.3337653640348934E-15	6.668826820174467E-16	1.4567755168925193E-14
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	28	13.930348258706468	1.798158025650121E-16	OR5A2, OR10A7, OR4C3, OR5AU1, OR2T5, OR5AP2, OR4Q3, OR2T8, OR7A10, OR6N2, OR2A7, OR5K4, OR52I1, OR5M10, OR5K2, OR5M3, OR11H1, OR2AE1, OR56A1, OR51I2, OR5H15, OR3A2, OR4N4, OR6V1, OR10V1, OR13J1, OR4C46, OR4P4	143	425	16792	7.736338955162484	1.1901590823981678E-13	5.950795411990839E-14	3.219646771412954E-13
GOTERM_BP_DIRECT	GO:0006334~nucleosome assembly	17	8.45771144278607	3.757892061681238E-15	HIST1H2BA, BRD2, HIST1H1E, HIST1H1D, HIST1H4K, HIST1H1C, HIST1H2BH, DAXX, TSPYL6, HIST1H2BM, HIST1H1T, HIST1H4B, HIST1H2BI, HIST1H4F, HIST1H4C, HIST1H4D, HIST1H4J	143	119	16792	16.775224775224775	2.0232704400768853E-12	6.744604874597826E-13	5.484501741648273E-12
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	28	13.930348258706468	1.444426126214584E-14	OR5A2, OR10A7, OR4C3, OR5AU1, OR2T5, OR5AP2, OR4Q3, OR2T8, OR7A10, OR6N2, OR2A7, OR5K4, OR52I1, OR5M10, OR5K2, OR5M3, OR11H1, OR2AE1, OR56A1, OR51I2, OR5H15, OR3A2, OR4N4, OR6V1, OR10V1, OR13J1, OR4C46, OR4P4	167	431	16881	6.566931102991234	2.3092638912203256E-12	1.1546319456101628E-12	1.7430501486614958E-11
GOTERM_CC_DIRECT	GO:0000786~nucleosome	16	7.960199004975125	4.8462386438698874E-14	HIST1H2BA, HIST1H1E, HIST1H1D, HIST1H4K, HIST1H1C, HIST1H2BH, TNP2, HIST1H2BM, HIST1H1T, HIST1H4B, HIST1H2BI, HIST1H4F, HIST1H4C, PRM2, HIST1H4D, HIST1H4J	191	94	18224	16.2406149047566	4.948708109964173E-12	1.6495693699880576E-12	5.404565683875262E-11
GOTERM_BP_DIRECT	GO:0045653~negative regulation of megakaryocyte differentiation	7	3.482587064676617	5.615595026867512E-9	HIST1H4K, HIST1H4B, HIST1H4F, HIST1H4C, PF4, HIST1H4D, HIST1H4J	143	18	16792	45.66588966588967	3.009954392618752E-6	7.52489447530813E-7	8.165714604491114E-6
GOTERM_MF_DIRECT	GO:0033038~bitter taste receptor activity	7	3.482587064676617	1.252906593403167E-7	TAS2R13, TAS2R39, TAS2R4, TAS2R46, TAS2R3, TAS2R42, TAS2R31	167	25	16881	28.303473053892215	2.0046305812648768E-5	6.682146588499194E-6	1.5128685804111086E-4
