Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	5	0.4878048780487805	1.6140383929002114E-6	DNAH17, DNAH1, MYH6, MYH8, DNAH5	10	183	16881	46.12295081967213	4.035017829717713E-5	4.035017829717713E-5	0.0013094977820982123
GOTERM_BP_DIRECT	GO:0006936~muscle contraction	4	0.3902439024390244	2.054954622330234E-5	MYH1, RYR1, MYH6, MYH8	10	107	16792	62.77383177570094	0.0019093023940143228	0.0019093023940143228	0.022494283868301768
GOTERM_CC_DIRECT	GO:0032982~myosin filament	3	0.2926829268292683	2.592344680541751E-5	MYH1, MYH6, MYH8	10	16	18224	341.7	0.0011917832714565257	0.0011917832714565257	0.0244996619222837
GOTERM_CC_DIRECT	GO:0005859~muscle myosin complex	3	0.2926829268292683	2.592344680541751E-5	MYH1, MYH6, MYH8	10	16	18224	341.7	0.0011917832714565257	0.0011917832714565257	0.0244996619222837
GOTERM_MF_DIRECT	GO:0005524~ATP binding	7	0.6829268292682927	3.173019686455677E-5	MYH1, DNAH17, DNAH1, MYH6, NLRP3, MYH8, DNAH5	10	1495	16881	7.904147157190635	7.929529534587143E-4	3.96555104704821E-4	0.02574051046747572
GOTERM_MF_DIRECT	GO:0005516~calmodulin binding	4	0.3902439024390244	1.1041402117937685E-4	MYH1, RYR1, MYH6, MYH8	10	189	16881	35.72698412698413	0.0027566962467806544	9.197444193774773E-4	0.08954618408330006
GOTERM_MF_DIRECT	GO:0003777~microtubule motor activity	3	0.2926829268292683	7.814091440832093E-4	DNAH17, DNAH1, DNAH5	10	80	16881	63.303749999999994	0.01935314122187204	0.004873800572635534	0.6322155239848026
GOTERM_MF_DIRECT	GO:0017018~myosin phosphatase activity	2	0.1951219512195122	0.0021310594549917316	MYH6, MYH8	10	4	16881	844.0500000000001	0.05193606292945108	0.010609979808114067	1.715928240534692
GOTERM_CC_DIRECT	GO:0005858~axonemal dynein complex	2	0.1951219512195122	0.004928796353157184	DNAH17, DNAH1	10	10	18224	364.48	0.20330647887855258	0.1074231007238382	4.562750273922611
GOTERM_BP_DIRECT	GO:0060285~cilium-dependent cell motility	2	0.1951219512195122	0.005881637335357102	DNAH17, DNAH1	10	11	16792	305.30909090909097	0.4222460614006004	0.23989873135259165	6.253816731246897
GOTERM_CC_DIRECT	GO:0005874~microtubule	3	0.2926829268292683	0.009654787086507625	DNAH17, DNAH1, DNAH5	10	311	18224	17.57942122186495	0.35999420580398667	0.13822352332490895	8.7619883559525
GOTERM_MF_DIRECT	GO:0000146~microfilament motor activity	2	0.1951219512195122	0.010614986494047702	MYH6, MYH8	10	20	16881	168.81	0.23416855864098773	0.04349143024615043	8.293974592656639
GOTERM_CC_DIRECT	GO:0030286~dynein complex	2	0.1951219512195122	0.010814839826940684	DNAH17, DNAH1	10	22	18224	165.6727272727273	0.3935859549362728	0.11754551880232778	9.767143299563063
GOTERM_BP_DIRECT	GO:0003341~cilium movement	2	0.1951219512195122	0.01438185599795239	DNAH1, DNAH5	10	27	16792	124.3851851851852	0.7400390332128545	0.36178151141105697	14.665238179612617
GOTERM_BP_DIRECT	GO:0046034~ATP metabolic process	2	0.1951219512195122	0.01702489224464142	MYH6, MYH8	10	32	16792	104.95000000000002	0.7974863152000542	0.3291682736509919	17.137246984503186
GOTERM_CC_DIRECT	GO:0030017~sarcomere	2	0.1951219512195122	0.01910042259910097	MYH6, MYH8	10	39	18224	93.45641025641025	0.5881593774868255	0.162575165035581	16.663199163401433
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	7	0.6829268292682927	0.02007164167256948	EPPK1, DNAH17, RYR1, DNAH1, NLRP3, MYH8, DNAH5	10	5222	18224	2.4428954423592493	0.6065052023459843	0.143968329535744	17.4398537236936
GOTERM_BP_DIRECT	GO:0030049~muscle filament sliding	2	0.1951219512195122	0.02018821833215016	MYH6, MYH8	10	38	16792	88.37894736842105	0.8499392447049137	0.31568915053888713	20.010242256061893
GOTERM_CC_DIRECT	GO:0016459~myosin complex	2	0.1951219512195122	0.024428753113117155	MYH1, MYH6	10	50	18224	72.896	0.6794368301658906	0.15000527214409087	20.84505607501329
GOTERM_BP_DIRECT	GO:0030317~sperm motility	2	0.1951219512195122	0.028579561528155203	DNAH1, DNAH5	10	54	16792	62.1925925925926	0.9325669175181687	0.3620125014505128	27.198400043725222
GOTERM_MF_DIRECT	GO:0003774~motor activity	2	0.1951219512195122	0.034650269872592995	MYH1, MYH6	10	66	16881	51.154545454545456	0.5858887893584108	0.11833738306928987	24.882107741506942
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	2	0.1951219512195122	0.042595183090505216	DNAH17, DNAH5	10	81	16792	41.461728395061726	0.9825461370795443	0.43915655083368155	37.90673865070081
GOTERM_CC_DIRECT	GO:0030018~Z disc	2	0.1951219512195122	0.05680022001478712	RYR1, MYH6	10	118	18224	30.88813559322034	0.9321156324909083	0.28555101760199963	42.46144595184581
GOTERM_BP_DIRECT	GO:0006470~protein dephosphorylation	2	0.1951219512195122	0.06555547102001212	MYH6, MYH8	10	126	16792	26.653968253968255	0.9981740962304407	0.545342106289548	52.39690499395393
