Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007265~Ras protein signal transduction	4	0.3192338387869114	2.399321105793121E-6	NRAS, CDKN2A, NF1, TP53	8	70	16792	119.94285714285715	5.421002309679013E-4	5.421002309679013E-4	0.003067369040721246
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	3	0.23942537909018355	0.004836212277253367	NRAS, BRAF, NF1	8	262	16792	24.03435114503817	0.6656729181421845	0.42178975981238853	6.0096956721440105
GOTERM_BP_DIRECT	GO:0090399~replicative senescence	2	0.1596169193934557	0.0049925604662222345	CDKN2A, TP53	8	12	16792	349.8333333333333	0.677336300082541	0.3141170035831349	6.198304991482562
GOTERM_BP_DIRECT	GO:0001953~negative regulation of cell-matrix adhesion	2	0.1596169193934557	0.006237356954822869	CDKN2A, NF1	8	15	16792	279.8666666666667	0.7568452630035323	0.2977840597990381	7.687555400244395
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	3	0.23942537909018355	0.006295952435973764	CDKN2A, NF1, TP53	8	300	16792	20.990000000000002	0.7600640699190481	0.24834412278573614	7.757117811177827
GOTERM_BP_DIRECT	GO:0071158~positive regulation of cell cycle arrest	2	0.1596169193934557	0.010377043175329743	CDKN2A, TP53	8	25	16792	167.92	0.9053400970666177	0.32491103490566575	12.484867024512159
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	3	0.23942537909018355	0.010770293769589453	CDKN2A, TP53, ARID2	8	396	16792	15.90151515151515	0.9134721705396647	0.29503896082226577	12.928424569987573
GOTERM_BP_DIRECT	GO:0048147~negative regulation of fibroblast proliferation	2	0.1596169193934557	0.012853752953880856	NF1, TP53	8	31	16792	135.41935483870967	0.9462697678260519	0.30613123212768323	15.244036974284313
GOTERM_BP_DIRECT	GO:0030199~collagen fibril organization	2	0.1596169193934557	0.016147766794949312	NF1, COL5A2	8	39	16792	107.64102564102564	0.9747563634603521	0.3355515016119577	18.789536999577983
GOTERM_BP_DIRECT	GO:0043525~positive regulation of neuron apoptotic process	2	0.1596169193934557	0.017791237541227297	NF1, TP53	8	43	16792	97.62790697674419	0.9826994561244233	0.3334910652706209	20.506883402752617
GOTERM_BP_DIRECT	GO:0008542~visual learning	2	0.1596169193934557	0.018612090100898426	BRAF, NF1	8	45	16792	93.28888888888889	0.9856781547692628	0.3202275752146655	21.352040116851935
GOTERM_MF_DIRECT	GO:0003677~DNA binding	4	0.3192338387869114	0.025091521207698923	CDKN2A, TP53, AHCTF1, ARID2	8	1674	16881	5.042114695340502	0.739933797573573	0.739933797573573	21.958467409630867
GOTERM_MF_DIRECT	GO:0002039~p53 binding	2	0.1596169193934557	0.027458910714230657	CDKN2A, TP53	8	67	16881	62.98880597014925	0.7713759937665504	0.5218535723928813	23.787884762054222
GOTERM_BP_DIRECT	GO:0035690~cellular response to drug	2	0.1596169193934557	0.028416551396131626	BRAF, TP53	8	69	16792	60.84057971014494	0.9985191728853332	0.41895643404193406	30.82655258502829
GOTERM_BP_DIRECT	GO:0030336~negative regulation of cell migration	2	0.1596169193934557	0.0389431906651371	NF1, ARID2	8	95	16792	44.189473684210526	0.9998737336596804	0.49869845208520613	39.81956326218079
GOTERM_BP_DIRECT	GO:0006469~negative regulation of protein kinase activity	2	0.1596169193934557	0.04055396433126836	CDKN2A, NF1	8	99	16792	42.4040404040404	0.9999135738995626	0.48742154078056377	41.09641453636661
GOTERM_CC_DIRECT	GO:0005829~cytosol	5	0.39904229848363926	0.041124310734965926	CDKN2A, BRAF, NF1, TP53, AHCTF1	9	3315	18224	3.0541310541310542	0.8356463924454502	0.8356463924454502	32.34804284878925
GOTERM_CC_DIRECT	GO:0016363~nuclear matrix	2	0.1596169193934557	0.04180422296410778	TP53, AHCTF1	9	97	18224	41.750286368843064	0.840583651359953	0.6007302307461195	32.79313972668286
GOTERM_BP_DIRECT	GO:0016925~protein sumoylation	2	0.1596169193934557	0.047773842575258504	CDKN2A, TP53	8	117	16792	35.88034188034188	0.9999843229536435	0.5217177288642838	46.51858719035823
GOTERM_BP_DIRECT	GO:0030308~negative regulation of cell growth	2	0.1596169193934557	0.04937192017208176	CDKN2A, TP53	8	121	16792	34.69421487603306	0.9999892748275813	0.510897066429005	47.654786451528764
GOTERM_CC_DIRECT	GO:0005730~nucleolus	3	0.23942537909018355	0.05121342473032289	CDKN2A, NF1, TP53	9	857	18224	7.088292493193309	0.8957089989603184	0.5292948549939693	38.69007849459775
GOTERM_BP_DIRECT	GO:0007050~cell cycle arrest	2	0.1596169193934557	0.0573278724030931	CDKN2A, TP53	8	141	16792	29.773049645390074	0.9999983948686297	0.5438079828629645	52.98743984469147
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	2	0.1596169193934557	0.07891313737853571	NF1, COL5A2	8	196	16792	21.418367346938776	0.9999999914506539	0.6437342689320593	65.03763378060398
GOTERM_MF_DIRECT	GO:0016301~kinase activity	2	0.1596169193934557	0.09577140307049246	CDKN2A, BRAF	8	241	16881	17.511410788381742	0.9951833332023782	0.8311184519024633	62.551996085017706
