Gene_Name	Gene_Length_Normalized
A1CF	3.477615746644101e-05
A2M	0.00012354576340986307
A2ML1	1.5496908366780827e-05
A4GALT	0.00010282071494670459
AAAS	0.00011488970588235294
AACS	1.2829065530866732e-05
AADAC	6.919936336585703e-05
AADACL2	0.0001093972213105787
AADACL3	7.931472081218273e-05
AADACL4	8.876658825618038e-05
AANAT	0.00011928903733746869
AARS	2.6847079037800687e-05
AARS2	7.314218841427736e-05
AASS	2.9140500925210903e-05
AATF	9.259602207489166e-06
ABAT	1.8180165439505498e-05
ABCA1	2.0375590043128334e-05
ABCA10	4.0970173713536546e-05
ABCA12	7.250404814268797e-05
ABCA13	2.5208124578551668e-05
ABCA3	6.166653819471209e-05
ABCA4	7.7945360302428e-05
ABCA5	3.6173778833516215e-05
ABCA6	0.00011078403443800842
ABCA7	0.00011779025481958459
ABCA8	0.00011350737797956867
ABCA9	3.46516355571983e-05
ABCB1	2.864836990775225e-05
ABCB10	4.749127347849833e-05
ABCB11	4.613227044582226e-05
ABCB4	2.5400695979069827e-05
ABCB5	6.797340386088933e-05
ABCB7	9.666318679194216e-06
ABCB8	0.0001549666821633349
ABCB9	4.942502224126001e-05
ABCC1	1.0336077561926024e-05
ABCC10	4.3357613596947624e-05
ABCC11	4.959210493689405e-05
ABCC12	4.1070572934492436e-05
ABCC2	8.638065073423554e-05
ABCC3	0.00017398869073510223
ABCC4	1.4204343688299882e-05
ABCC5	1.0195654612004365e-05
ABCC6	6.702951980052014e-05
ABCC8	7.141411857124153e-05
ABCC9	4.8610773536294884e-05
ABCD1	0.0001005378776454029
ABCD2	2.8686996184629507e-05
ABCD3	9.971183280319876e-06
ABCD4	5.67118471048602e-05
ABCE1	6.400614458988063e-05
ABCF1	7.75103670115878e-05
ABCF3	0.00012517211165352359
ABCG1	3.075188355286761e-05
ABCG2	7.089282422833161e-06
ABCG4	0.00036662267194603314
ABCG5	3.788883416057288e-05
ABCG8	7.594552174573439e-05
ABHD1	0.00014289797084881395
ABHD11	0.0003606202668589975
ABHD12	1.0390689941812136e-05
ABHD12B	3.047851264858275e-05
ABHD16A	6.073120369245719e-05
ABHD3	1.8550122430808042e-05
ABHD5	2.2594785123593476e-05
ABHD8	0.00011046672190002761
ABI1	8.7340821353084e-06
ABI2	8.367920739054759e-06
ABI3	0.00015386982612709647
ABI3BP	4.092339549597109e-06
ABL1	2.3024365534827232e-05
ABL2	7.671241283552091e-06
ABLIM1	3.938713616132971e-06
ABLIM2	5.167424555601488e-06
ABLIM3	8.399197036763286e-06
ABR	8.866938290542967e-06
ABRA	0.0006504367217989222
ABTB1	0.00025031289111389235
ABTB2	9.660902328277461e-06
ACACA	3.077055627011625e-06
ACACB	4.616470246849259e-05
ACAD10	5.630155110773302e-05
ACAD8	8.090614886731392e-05
ACAD9	2.741904526884374e-05
ACADM	1.5816778438567633e-05
ACADS	0.00014012471099278357
ACADSB	2.0270818130219737e-05
ACAN	0.00013906078346845405
ACAP1	0.00026757642651682387
ACAP2	5.94028822278457e-06
ACBD3	4.7561294618439516e-05
ACBD4	0.00017269665831966152
ACBD6	4.3941750815119475e-06
ACBD7	8.88651915044877e-05
ACCSL	8.336112037345781e-05
ACD	0.0009096422073984233
ACE	0.00017863921577384274
ACE2	9.728809436945154e-05
ACER2	2.3205625043510546e-05
ACHE	0.0002865740077374982
ACIN1	5.398110661268556e-05
ACLY	3.8403195145836134e-05
ACMSD	1.5751256162678975e-05
ACO1	4.276611213274601e-05
ACOT11	5.1580956310930006e-05
ACOT12	1.5582634711877086e-05
ACOT4	0.00020876826722338206
ACOT6	0.00011181930001118193
ACOT7	7.685095525737385e-06
ACOT8	6.37551801083838e-05
ACOT9	1.557098813490704e-05
ACOX1	2.63664407941572e-05
ACOX2	6.214461050865363e-05
ACOX3	5.373382947569216e-05
ACOXL	2.593031487181349e-06
ACP2	0.00010412328196584757
ACP6	2.4292481476982873e-05
ACR	0.0004202857943401513
ACRBP	0.00010655301012253596
ACSF2	6.161809107153861e-05
ACSF3	1.482118243393458e-05
ACSL1	2.8080816590146443e-05
ACSL3	2.389343527865719e-05
ACSL4	1.832189741569637e-05
ACSL5	0.00014716162024943895
ACSL6	1.4616107925340921e-05
ACSM1	7.930947880454179e-05
ACSM2A	0.0001657092355280601
ACSM2B	9.950001243750156e-05
ACSM4	0.0001227495908346972
ACSM5	6.288912647003333e-05
ACSS2	1.791472590469366e-05
ACSS3	2.5083166373507158e-05
ACTA2	1.7756942964699198e-05
ACTBL2	0.0007168458781362007
ACTC1	0.0002486634340420241
ACTG1	7.206687806284232e-05
ACTG2	3.629632318246162e-05
ACTL6A	3.917267314321529e-05
ACTL6B	7.4827895839569e-05
ACTL7A	0.0013966480446927375
ACTL7B	0.0008445945945945946
ACTL8	4.181184668989547e-05
ACTL9	0.0021141649048625794
ACTN1	9.496946731625782e-06
ACTN2	3.8374457960781306e-05
ACTR3B	1.0457078919574606e-05
ACTRT1	0.011118832522585128
ACTRT2	0.0007047216349541931
ACTRT3	0.0003362474781439139
ACVR1	1.4345555746829633e-05
ACVR1B	2.2021096210169343e-05
ACVR1C	9.78109900428412e-06
ACVR2B	2.545112112188542e-05
ACVRL1	0.000364675135233696
ACY3	0.00024679170779861795
ADA	3.0570756014796244e-05
ADAD1	3.934219844204894e-05
ADAD2	0.0009950248756218905
ADAL	4.305890458146745e-05
ADAM11	0.00017532325224632917
ADAM12	2.127240915351766e-05
ADAM15	0.0001638001638001638
ADAM18	7.55624248669071e-05
ADAM19	3.3288763377921785e-05
ADAM2	5.2879835860989486e-05
ADAM20	0.0003160306549735324
ADAM21	0.0007743933918430562
ADAM22	3.7209856146696136e-06
ADAM23	1.1262022208707795e-05
ADAM28	0.0001077287697374496
ADAM29	4.71342383107089e-05
ADAM30	0.00033760972316002703
ADAM32	2.810236003619584e-05
